location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T14:00:00Z,2020-11-05T19:30:00+05:30,pm25,25.13,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T14:00:00Z,2020-11-05T19:30:00+05:30,so2,7.34,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T14:00:00Z,2020-11-05T19:30:00+05:30,o3,6.98,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T14:00:00Z,2020-11-05T19:30:00+05:30,co,1310,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T14:00:00Z,2020-11-05T19:30:00+05:30,no2,9.1,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T10:45:00Z,2020-11-05T16:15:00+05:30,co,1050,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T10:45:00Z,2020-11-05T16:15:00+05:30,pm25,15.33,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T10:45:00Z,2020-11-05T16:15:00+05:30,o3,35.42,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T10:45:00Z,2020-11-05T16:15:00+05:30,no2,11.47,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T10:45:00Z,2020-11-05T16:15:00+05:30,so2,7.12,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
